Root Name,Title,Author,Date/Time,Groups,Description,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:40:16.592 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:40:16.592 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:40:16.592 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:40:16.592 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:40:16.592 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_50_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:42:28.747 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:42:28.747 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:42:28.747 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:42:28.747 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:42:28.747 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_100_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:42:57.297 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:42:57.297 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:42:57.297 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:42:57.297 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:42:57.297 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_150_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:43:12.659 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:43:12.659 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:43:12.659 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:43:12.659 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:43:12.659 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_200_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:43:28.154 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:43:28.154 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:43:28.154 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:43:28.154 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:43:28.154 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_250_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:43:43.362 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:43:43.362 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:43:43.362 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:43:43.362 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:43:43.362 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_250_10_1 #1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:43:48.444 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:43:48.444 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:43:48.444 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:43:48.444 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:43:48.444 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_50_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:44:30.959 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:44:30.959 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:44:30.959 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:44:30.959 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:44:30.959 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_100_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:45:22.993 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:45:22.993 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:45:22.993 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:45:22.993 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:45:22.993 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_150_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:45:49.820 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:45:49.820 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:45:49.820 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:45:49.820 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:45:49.820 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_200_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:46:09.670 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:46:09.670 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:46:09.670 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:46:09.670 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:46:09.670 PM,
,,,,,,,,,,,,,
TRP_Drag_Y_250_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:46:51.623 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:46:51.623 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:46:51.623 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:46:51.623 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:46:51.623 PM,
