Time,Voltage,,,
0.7,-12,,,
0.702,-14,,,
0.704,-14,,,
0.706,-14,,,
0.708,-12,,,
0.71,-14,,,
0.712,-14,,,
0.714,-12,,,
0.716,-16,,,
0.718,-12,,,
0.72,-10,,,
0.722,-14,,,
0.724,-6,,,
0.726,-4,,,
0.728,-8,,,
0.73,0,,,
0.732,4,,,
0.734,0,,,
0.736,2,,,
0.738,4,,,
0.74,-2,,,
0.742,2,,,
0.744,4,,,
0.746,-6,,,
0.748,-2,,,
0.75,4,,,
0.752,-6,,,
0.754,-6,,,
0.756,6,,,
0.758,-2,,,
0.76,-4,,,
0.762,6,,,
0.764,4,,,
0.766,2,,,
0.768,10,,,
0.77,8,,,
0.772,6,,,
0.774,18,,,
0.776,14,,,
0.778,8,,,
0.78,20,,,
0.782,20,,,
0.784,10,,,
0.786,18,,,
0.788,22,,,
0.79,16,,,
0.792,16,,,
0.794,22,,,
0.796,18,,,
0.798,18,,,
0.8,24,,,
0.802,18,,,
0.804,16,,,
0.806,26,,,
0.808,24,,,
0.81,22,,,
0.812,30,,,
0.814,30,,,
0.816,28,,,
0.818,32,,,
0.82,32,,,
0.822,30,,,
0.824,34,,,
0.826,34,,,
0.828,30,,,
0.83,32,,,
0.832,34,,,
0.834,30,,,
0.836,32,,,
0.838,34,,,
0.84,32,,,
0.842,32,,,
0.844,36,,,
0.846,34,,,
0.848,32,,,
0.85,36,,,
0.852,36,,,
0.854,34,,,
0.856,38,,,
0.858,36,,,
0.86,36,,,
0.862,36,,,
0.864,36,,,
0.866,36,,,
0.868,36,,,
0.87,36,,,
0.872,36,,,
0.874,36,,,
0.876,36,,,
0.878,38,,,
0.88,36,,,
0.882,36,,,
0.884,36,,,
0.886,36,,,
0.888,36,,,
0.89,36,,,
0.892,36,,,
0.894,36,,,
0.896,36,,,
0.898,34,,,
0.9,32,,,
0.902,34,,,
0.904,34,,,
0.906,30,,,
0.908,30,,,
0.91,32,,,
0.912,30,,,
0.914,30,,,
0.916,30,,,
0.918,30,,,
0.92,30,,,
0.922,32,,,
0.924,30,,,
0.926,30,,,
0.928,32,,,
0.93,30,,,
0.932,28,,,
0.934,28,,,
0.936,26,,,
0.938,24,,,
0.94,20,,,
0.942,18,,,
0.944,18,,,
0.946,16,,,
0.948,16,,,
0.95,12,,,
0.952,14,,,
0.954,12,,,
0.956,12,,,
0.958,14,,,
0.96,12,,,
0.962,12,,,
0.964,14,,,
0.966,12,,,
0.968,8,,,
0.97,10,,,
0.972,10,,,
0.974,6,,,
0.976,6,,,
0.978,6,,,
0.98,4,,,
0.982,4,,,
0.984,4,,,
0.986,0,,,
0.988,0,,,
0.99,2,,,
0.992,-2,,,
0.994,-4,,,
0.996,0,,,
0.998,-2,,,
1,-4,,,
1.002,-2,,,
1.004,0,,,
1.006,-4,,,
1.008,-4,,,
1.01,-2,,,
1.012,-4,,,
1.014,-4,,,
1.016,-6,,,
1.018,-8,,,
1.02,-8,,,
1.022,-10,,,
1.024,-12,,,
1.026,-14,,,
1.028,-12,,,
1.03,-14,,,
1.032,-16,,,
1.034,-14,,,
1.036,-14,,,
1.038,-16,,,
1.04,-16,,,
1.042,-16,,,
1.044,-14,,,
1.046,-16,,,
1.048,-16,,,
1.05,-18,,,
1.052,-16,,,
1.054,-16,,,
1.056,-18,,,
1.058,-16,,,
1.06,-18,,,
1.062,-18,,,
1.064,-18,,,
1.066,-18,,,
1.068,-18,,,
1.07,-20,,,
1.072,-20,,,
1.074,-18,,,
1.076,-20,,,
1.078,-18,,,
1.08,-18,,,
1.082,-20,,,
1.084,-18,,,
1.086,-20,,,
1.088,-20,,,
1.09,-18,,,
1.092,-18,,,
1.094,-18,,,
1.096,-18,,,
1.098,-18,,,
1.1,-18,,,
1.102,-18,,,
1.104,-18,,,
1.106,-16,,,
1.108,-16,,,
1.11,-14,,,
1.112,-14,,,
1.114,-14,,,
1.116,-14,,,
1.118,-14,,,
1.12,-12,,,
1.122,-14,,,
1.124,-14,,,
1.126,-12,,,
1.128,-14,,,
1.13,-12,,,
1.132,-10,,,
1.134,-12,,,
1.136,-12,,,
1.138,-8,,,
1.14,-8,,,
1.142,-6,,,
1.144,-2,,,
1.146,-2,,,
1.148,-4,,,
1.15,0,,,
1.152,0,,,
1.154,0,,,
1.156,2,,,
1.158,4,,,
1.16,0,,,
1.162,2,,,
1.164,4,,,
1.166,0,,,
1.168,0,,,
1.17,4,,,
1.172,2,,,
1.174,0,,,
1.176,2,,,
1.178,4,,,
1.18,4,,,
1.182,6,,,
1.184,8,,,
1.186,10,,,
1.188,12,,,
1.19,12,,,
1.192,14,,,
1.194,18,,,
1.196,18,,,
1.198,16,,,
1.2,18,,,
1.202,20,,,
1.204,18,,,
1.206,20,,,
1.208,20,,,
1.21,22,,,
1.212,22,,,
1.214,22,,,
1.216,22,,,
1.218,22,,,
1.22,24,,,
1.222,24,,,
1.224,26,,,
1.226,28,,,
1.228,30,,,
1.23,28,,,
1.232,32,,,
1.234,32,,,
1.236,30,,,
1.238,32,,,
1.24,34,,,
1.242,32,,,
1.244,32,,,
1.246,32,,,
1.248,32,,,
1.25,32,,,
1.252,32,,,
1.254,34,,,
1.256,34,,,
1.258,32,,,
1.26,34,,,
1.262,36,,,
1.264,36,,,
1.266,36,,,
1.268,36,,,
1.27,36,,,
1.272,36,,,
1.274,36,,,
1.276,36,,,
1.278,38,,,
1.28,36,,,
1.282,36,,,
1.284,36,,,
1.286,36,,,
1.288,36,,,
1.29,38,,,
1.292,36,,,
1.294,38,,,
1.296,38,,,
1.298,36,,,
1.3,36,,,
1.302,36,,,
1.304,36,,,
1.306,34,,,
1.308,36,,,
1.31,36,,,
1.312,34,,,
1.314,30,,,
1.316,34,,,
1.318,34,,,
1.32,30,,,
1.322,30,,,
1.324,32,,,
1.326,30,,,
1.328,30,,,
1.33,32,,,
1.332,30,,,
1.334,28,,,
1.336,30,,,
1.338,28,,,
1.34,22,,,
1.342,30,,,
1.344,28,,,
1.346,20,,,
1.348,24,,,
1.35,30,,,
1.352,18,,,
1.354,20,,,
1.356,24,,,
1.358,18,,,
1.36,16,,,
1.362,22,,,
1.364,16,,,
1.366,14,,,
1.368,22,,,
1.37,14,,,
1.372,10,,,
1.374,18,,,
1.376,18,,,
1.378,8,,,
1.38,12,,,
1.382,12,,,
1.384,8,,,
1.386,8,,,
1.388,8,,,
1.39,2,,,
1.392,6,,,
1.394,8,,,
1.396,0,,,
1.398,0,,,
1.4,6,,,
1.402,0,,,
1.404,-4,,,
1.406,0,,,
1.408,0,,,
1.41,-4,,,
1.412,-4,,,
1.414,-6,,,
1.416,-8,,,
1.418,-4,,,
1.42,-10,,,
1.422,-12,,,
1.424,-10,,,
1.426,-10,,,
1.428,-14,,,
1.43,-12,,,
1.432,-14,,,
1.434,-16,,,
1.436,-14,,,
1.438,-14,,,
1.44,-16,,,
1.442,-16,,,
1.444,-12,,,
1.446,-14,,,
1.448,-16,,,
1.45,-14,,,
1.452,-14,,,
1.454,-18,,,
1.456,-16,,,
1.458,-18,,,
1.46,-18,,,
1.462,-18,,,
1.464,-20,,,
1.466,-20,,,
1.468,-18,,,
1.47,-18,,,
1.472,-18,,,
1.474,-18,,,
1.476,-18,,,
1.478,-20,,,
1.48,-18,,,
1.482,-18,,,
1.484,-18,,,
1.486,-18,,,
1.488,-20,,,
1.49,-18,,,
1.492,-18,,,
1.494,-18,,,
1.496,-18,,,
1.498,-18,,,
1.5,-18,,,
1.502,-18,,,
1.504,-16,,,
1.506,-16,,,
1.508,-16,,,
1.51,-14,,,
1.512,-14,,,
1.514,-12,,,
1.516,-10,,,
1.518,-10,,,
1.52,-12,,,
1.522,-10,,,
1.524,-10,,,
1.526,-14,,,
1.528,-10,,,
1.53,-10,,,
1.532,-12,,,
1.534,-10,,,
1.536,-8,,,
1.538,-10,,,
1.54,-6,,,
1.542,-4,,,
1.544,-6,,,
1.546,-2,,,
1.548,0,,,
1.55,0,,,
1.552,0,,,
1.554,4,,,
1.556,2,,,
1.558,2,,,
1.56,6,,,
1.562,4,,,
1.564,2,,,
1.566,6,,,
1.568,0,,,
1.57,0,,,
1.572,4,,,
1.574,4,,,
1.576,2,,,
1.578,6,,,
1.58,8,,,
1.582,6,,,
1.584,10,,,
1.586,12,,,
1.588,12,,,
1.59,14,,,
1.592,20,,,
1.594,16,,,
1.596,16,,,
1.598,22,,,
1.6,20,,,
1.602,18,,,
1.604,20,,,
1.606,22,,,
1.608,20,,,
1.61,22,,,
1.612,22,,,
1.614,24,,,
1.616,24,,,
1.618,26,,,
1.62,26,,,
1.622,28,,,
1.624,28,,,
1.626,30,,,
1.628,30,,,
1.63,32,,,
1.632,32,,,
1.634,32,,,
1.636,34,,,
1.638,34,,,
1.64,34,,,
1.642,34,,,
1.644,36,,,
1.646,34,,,
1.648,34,,,
1.65,32,,,
1.652,34,,,
1.654,34,,,
1.656,36,,,
1.658,34,,,
1.66,36,,,
1.662,38,,,
1.664,36,,,
1.666,36,,,
1.668,36,,,
1.67,38,,,
1.672,38,,,
1.674,36,,,
1.676,38,,,
1.678,38,,,
1.68,36,,,
1.682,36,,,
1.684,36,,,
1.686,36,,,
1.688,36,,,
1.69,36,,,
1.692,36,,,
1.694,36,,,
1.696,36,,,
1.698,36,,,
1.7,36,,,
1.702,36,,,
1.704,34,,,
1.706,34,,,
1.708,34,,,
1.71,32,,,
1.712,28,,,
1.714,30,,,
1.716,30,,,
1.718,26,,,
1.72,26,,,
1.722,28,,,
1.724,26,,,
1.726,24,,,
1.728,26,,,
1.73,26,,,
1.732,26,,,
1.734,26,,,
1.736,26,,,
1.738,24,,,
1.74,26,,,
1.742,22,,,
1.744,20,,,
1.746,20,,,
1.748,22,,,
1.75,16,,,
1.752,16,,,
1.754,18,,,
1.756,14,,,
1.758,14,,,
1.76,12,,,
1.762,10,,,
1.764,10,,,
1.766,12,,,
1.768,10,,,
1.77,10,,,
1.772,14,,,
1.774,12,,,
1.776,10,,,
1.778,14,,,
1.78,10,,,
1.782,8,,,
1.784,8,,,
1.786,6,,,
1.788,4,,,
1.79,4,,,
1.792,4,,,
1.794,-4,,,
1.796,-2,,,
1.798,-2,,,
1.8,-6,,,
1.802,-8,,,
1.804,-6,,,
1.806,-10,,,
1.808,-10,,,
1.81,-10,,,
1.812,-10,,,
1.814,-12,,,
1.816,-10,,,
1.818,-10,,,
1.82,-10,,,
1.822,-10,,,
1.824,-10,,,
1.826,-12,,,
1.828,-12,,,
1.83,-12,,,
1.832,-14,,,
1.834,-16,,,
1.836,-14,,,
1.838,-16,,,
1.84,-16,,,
1.842,-16,,,
1.844,-18,,,
1.846,-18,,,
1.848,-18,,,
1.85,-18,,,
1.852,-18,,,
1.854,-18,,,
1.856,-18,,,
1.858,-18,,,
1.86,-18,,,
1.862,-18,,,
1.864,-18,,,
1.866,-18,,,
1.868,-18,,,
1.87,-18,,,
1.872,-18,,,
1.874,-18,,,
1.876,-18,,,
1.878,-20,,,
1.88,-18,,,
1.882,-18,,,
1.884,-18,,,
1.886,-18,,,
1.888,-16,,,
1.89,-16,,,
1.892,-16,,,
1.894,-14,,,
1.896,-16,,,
1.898,-16,,,
1.9,-14,,,
1.902,-14,,,
1.904,-16,,,
1.906,-16,,,
1.908,-14,,,
1.91,-14,,,
1.912,-14,,,
1.914,-12,,,
1.916,-12,,,
1.918,-12,,,
1.92,-8,,,
1.922,-8,,,
1.924,-8,,,
1.926,-4,,,
1.928,-2,,,
1.93,-2,,,
1.932,-2,,,
1.934,0,,,
1.936,0,,,
1.938,0,,,
1.94,0,,,
1.942,-2,,,
1.944,-2,,,
1.946,2,,,
1.948,0,,,
1.95,-2,,,
1.952,2,,,
1.954,4,,,
1.956,4,,,
1.958,6,,,
1.96,4,,,
1.962,12,,,
1.964,6,,,
1.966,8,,,
1.968,10,,,
1.97,12,,,
1.972,8,,,
1.974,14,,,
1.976,12,,,
1.978,8,,,
1.98,12,,,
1.982,14,,,
1.984,8,,,
1.986,12,,,
1.988,20,,,
1.99,10,,,
1.992,16,,,
1.994,24,,,
1.996,20,,,
1.998,16,,,
2,32,,,
2.002,26,,,
2.004,22,,,
2.006,30,,,
2.008,32,,,
2.01,26,,,
2.012,32,,,
2.014,32,,,
2.016,26,,,
2.018,34,,,
2.02,32,,,
2.022,26,,,
2.024,30,,,
2.026,36,,,
2.028,26,,,
2.03,30,,,
2.032,34,,,
2.034,34,,,
2.036,32,,,
2.038,36,,,
2.04,36,,,
2.042,34,,,
2.044,36,,,
2.046,36,,,
2.048,34,,,
2.05,38,,,
2.052,36,,,
2.054,34,,,
2.056,36,,,
2.058,36,,,
2.06,36,,,
2.062,36,,,
2.064,36,,,
2.066,36,,,
2.068,36,,,
2.07,38,,,
2.072,36,,,
2.074,36,,,
2.076,36,,,
2.078,36,,,
2.08,36,,,
2.082,36,,,
2.084,36,,,
2.086,36,,,
2.088,34,,,
2.09,36,,,
2.092,36,,,
2.094,30,,,
2.096,30,,,
2.098,34,,,
2.1,30,,,
2.102,26,,,
2.104,32,,,
2.106,28,,,
2.108,26,,,
2.11,30,,,
2.112,26,,,
2.114,24,,,
2.116,26,,,
2.118,26,,,
2.12,20,,,
2.122,26,,,
2.124,28,,,
2.126,22,,,
2.128,22,,,
2.13,24,,,
2.132,22,,,
2.134,22,,,
2.136,22,,,
2.138,18,,,
2.14,18,,,
2.142,22,,,
2.144,16,,,
2.146,14,,,
2.148,20,,,
2.15,16,,,
2.152,12,,,
2.154,16,,,
2.156,16,,,
2.158,12,,,
2.16,12,,,
2.162,10,,,
2.164,8,,,
2.166,10,,,
2.168,8,,,
2.17,2,,,
2.172,8,,,
2.174,8,,,
2.176,0,,,
2.178,0,,,
2.18,4,,,
2.182,0,,,
2.184,-2,,,
2.186,0,,,
2.188,-6,,,
2.19,-6,,,
2.192,-8,,,
2.194,-12,,,
2.196,-12,,,
2.198,-12,,,
2.2,-16,,,
2.202,-16,,,
2.204,-14,,,
2.206,-14,,,
2.208,-14,,,
2.21,-14,,,
2.212,-14,,,
2.214,-14,,,
2.216,-12,,,
2.218,-12,,,
2.22,-14,,,
2.222,-12,,,
2.224,-12,,,
2.226,-14,,,
2.228,-14,,,
2.23,-14,,,
2.232,-18,,,
2.234,-16,,,
2.236,-18,,,
2.238,-18,,,
2.24,-20,,,
2.242,-18,,,
2.244,-20,,,
2.246,-20,,,
2.248,-20,,,
2.25,-18,,,
2.252,-18,,,
2.254,-20,,,
2.256,-20,,,
2.258,-18,,,
2.26,-20,,,
2.262,-20,,,
2.264,-20,,,
2.266,-20,,,
2.268,-18,,,
2.27,-18,,,
2.272,-18,,,
2.274,-16,,,
2.276,-16,,,
2.278,-16,,,
2.28,-14,,,
2.282,-12,,,
2.284,-14,,,
2.286,-14,,,
2.288,-12,,,
2.29,-14,,,
2.292,-14,,,
2.294,-14,,,
2.296,-14,,,
2.298,-14,,,
2.3,-12,,,
2.302,-12,,,
2.304,-14,,,
2.306,-10,,,
2.308,-8,,,
2.31,-10,,,
2.312,-6,,,
2.314,-6,,,
2.316,-8,,,
2.318,-4,,,
2.32,0,,,
2.322,-6,,,
2.324,-4,,,
2.326,-2,,,
2.328,-4,,,
2.33,-4,,,
2.332,-4,,,
2.334,-6,,,
2.336,-6,,,
2.338,-4,,,
2.34,-4,,,
2.342,-2,,,
2.344,0,,,
2.346,4,,,
2.348,2,,,
2.35,6,,,
2.352,8,,,
2.354,10,,,
2.356,14,,,
2.358,12,,,
2.36,14,,,
2.362,18,,,
2.364,18,,,
2.366,16,,,
2.368,18,,,
2.37,20,,,
2.372,18,,,
2.374,18,,,
2.376,20,,,
2.378,20,,,
2.38,20,,,
2.382,20,,,
2.384,20,,,
2.386,22,,,
2.388,22,,,
2.39,22,,,
2.392,26,,,
2.394,26,,,
2.396,26,,,
2.398,28,,,
2.4,30,,,
2.402,30,,,
2.404,30,,,
2.406,34,,,
2.408,32,,,
2.41,32,,,
2.412,32,,,
2.414,32,,,
2.416,32,,,
2.418,30,,,
2.42,30,,,
2.422,30,,,
2.424,30,,,
2.426,30,,,
2.428,30,,,
2.43,32,,,
2.432,34,,,
2.434,34,,,
2.436,34,,,
2.438,36,,,
2.44,36,,,
2.442,36,,,
2.444,36,,,
2.446,36,,,
2.448,36,,,
2.45,36,,,
2.452,36,,,
2.454,36,,,
2.456,36,,,
2.458,36,,,
2.46,36,,,
2.462,36,,,
2.464,36,,,
2.466,36,,,
2.468,36,,,
2.47,36,,,
2.472,38,,,
2.474,36,,,
2.476,36,,,
2.478,36,,,
2.48,36,,,
2.482,32,,,
2.484,34,,,
2.486,34,,,
2.488,32,,,
2.49,30,,,
2.492,30,,,
2.494,28,,,
2.496,30,,,
2.498,30,,,
2.5,28,,,
2.502,30,,,
2.504,30,,,
2.506,28,,,
2.508,28,,,
2.51,30,,,
2.512,30,,,
2.514,26,,,
2.516,26,,,
2.518,28,,,
2.52,24,,,
2.522,24,,,
2.524,24,,,
2.526,22,,,
2.528,20,,,
2.53,20,,,
2.532,18,,,
2.534,18,,,
2.536,18,,,
2.538,16,,,
2.54,14,,,
2.542,18,,,
2.544,12,,,
2.546,10,,,
2.548,12,,,
2.55,10,,,
2.552,6,,,
2.554,8,,,
2.556,8,,,
2.558,4,,,
2.56,4,,,
2.562,8,,,
2.564,4,,,
2.566,4,,,
2.568,8,,,
2.57,4,,,
2.572,4,,,
2.574,6,,,
2.576,0,,,
2.578,0,,,
2.58,2,,,
2.582,-4,,,
2.584,-6,,,
2.586,-4,,,
2.588,-6,,,
2.59,-8,,,
2.592,-6,,,
2.594,-8,,,
2.596,-10,,,
2.598,-8,,,
2.6,-6,,,
2.602,-10,,,
2.604,-10,,,
2.606,-6,,,
2.608,-10,,,
2.61,-14,,,
2.612,-10,,,
2.614,-12,,,
2.616,-14,,,
2.618,-14,,,
2.62,-18,,,
2.622,-16,,,
2.624,-14,,,
2.626,-18,,,
2.628,-18,,,
2.63,-16,,,
2.632,-16,,,
2.634,-18,,,
2.636,-16,,,
2.638,-18,,,
2.64,-18,,,
2.642,-18,,,
2.644,-18,,,
2.646,-20,,,
2.648,-18,,,
2.65,-20,,,
2.652,-18,,,
2.654,-20,,,
2.656,-18,,,
2.658,-18,,,
2.66,-20,,,
2.662,-20,,,
2.664,-18,,,
2.666,-18,,,
2.668,-20,,,
2.67,-18,,,
2.672,-18,,,
2.674,-20,,,
2.676,-18,,,
2.678,-16,,,
2.68,-18,,,
2.682,-18,,,
2.684,-14,,,
2.686,-16,,,
2.688,-16,,,
2.69,-14,,,
2.692,-16,,,
2.694,-16,,,
2.696,-14,,,
2.698,-14,,,
2.7,-14,,,
2.702,-14,,,
2.704,-12,,,
2.706,-14,,,
2.708,-10,,,
2.71,-6,,,
2.712,-6,,,
2.714,-2,,,
2.716,0,,,
2.718,-2,,,
2.72,0,,,
2.722,0,,,
2.724,-4,,,
2.726,-4,,,
2.728,-2,,,
2.73,-8,,,
2.732,-10,,,
2.734,-6,,,
2.736,-8,,,
2.738,-8,,,
2.74,-2,,,
2.742,0,,,
2.744,0,,,
2.746,8,,,
2.748,10,,,
2.75,8,,,
2.752,12,,,
2.754,14,,,
2.756,12,,,
2.758,12,,,
2.76,16,,,
2.762,16,,,
2.764,16,,,
2.766,18,,,
2.768,16,,,
2.77,18,,,
2.772,22,,,
2.774,20,,,
2.776,20,,,
2.778,22,,,
2.78,20,,,
2.782,18,,,
2.784,20,,,
2.786,18,,,
2.788,18,,,
2.79,18,,,
2.792,18,,,
2.794,18,,,
2.796,22,,,
2.798,22,,,
2.8,26,,,
2.802,28,,,
2.804,30,,,
2.806,32,,,
2.808,34,,,
2.81,36,,,
2.812,36,,,
2.814,36,,,
2.816,34,,,
2.818,36,,,
2.82,36,,,
2.822,36,,,
2.824,32,,,
2.826,32,,,
2.828,30,,,
2.83,30,,,
2.832,30,,,
2.834,30,,,
2.836,30,,,
2.838,32,,,
2.84,34,,,
2.842,36,,,
2.844,36,,,
2.846,36,,,
2.848,36,,,
2.85,36,,,
2.852,34,,,
2.854,36,,,
2.856,36,,,
2.858,34,,,
2.86,34,,,
2.862,34,,,
2.864,32,,,
2.866,34,,,
2.868,34,,,
2.87,34,,,
2.872,36,,,
2.874,34,,,
2.876,36,,,
2.878,34,,,
2.88,34,,,
2.882,34,,,
2.884,34,,,
2.886,34,,,
2.888,34,,,
2.89,32,,,
2.892,32,,,
2.894,30,,,
2.896,28,,,
2.898,28,,,
2.9,24,,,
2.902,24,,,
2.904,24,,,
2.906,22,,,
2.908,20,,,
2.91,22,,,
2.912,22,,,
2.914,20,,,
2.916,22,,,
2.918,22,,,
2.92,18,,,
2.922,20,,,
2.924,20,,,
2.926,16,,,
2.928,18,,,
2.93,16,,,
2.932,14,,,
2.934,16,,,
